,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
3023,1.0,,,,18.0,,,,,18.0,2.0
3025,2.0,,,,10.0,,1.0,,,9.0,
3031,,,,,6.0,3.0,,,,11.0,23.0
3032,1.0,,,,3.0,,1.0,,,4.0,4.0
3035,1.0,,,,8.0,,6.0,,,8.0,13.0
3043,,27.0,,,5.0,,45.0,,,2.0,6.0
3061,1.0,,,,17.0,,,,1.0,15.0,
3069,2.0,,,,8.0,,,,,8.0,
3075,1.0,3.0,,,5.0,,81.0,,,7.0,12.0
3077,,,,,2.0,,,,,1.0,3.0
3080,6.0,3.0,,,11.0,,11.0,,,25.0,23.0
3083,,,,,6.0,,1.0,,,6.0,11.0
3091,,,,,3.0,,1.0,,,8.0,
3100,2.0,,,,4.0,,1.0,,1.0,5.0,
3104,,,,,3.0,,,,,2.0,9.0
3110,,,,,,2.0,1.0,,,,
3115,,,,,6.0,1.0,22.0,,,4.0,11.0
3125,2.0,,,,19.0,,5.0,,1.0,21.0,9.0
3126,,,,,2.0,,109.0,,,4.0,3.0
3145,,,,,10.0,2.0,1.0,,,11.0,
3159,,10.0,,,1.0,,4.0,1.0,,2.0,3.0
3180,,,,,3.0,,,,2.0,7.0,8.0
3185,,,,,,,,,,1.0,4.0
3189,,,,,5.0,,10.0,,,7.0,1.0
3191,2.0,,,,3.0,,,,,4.0,3.0
3197,,,,,,,58.0,,,2.0,
3198,1.0,,,,7.0,,,,,8.0,13.0
3205,,,,,2.0,,,,,3.0,5.0
3206,2.0,,,,3.0,1.0,43.0,,,2.0,12.0
3222,,,,,,,,,,,2.0
3229,1.0,,,,2.0,,1.0,1.0,,2.0,3.0
3239,,,,,6.0,,4.0,,,5.0,2.0
3245,,10.0,,,2.0,,203.0,,,2.0,5.0
3251,,,,,9.0,,,,,7.0,
3254,,,,,9.0,,2.0,,2.0,9.0,
3255,1.0,,,,1.0,,,,,3.0,5.0
3256,,8.0,,1.0,,,,,,,
3270,,158.0,,,,,,2.0,,,
3271,,,,,,,24.0,,,2.0,8.0
3273,,,,,22.0,2.0,,,,20.0,31.0
3275,,,,,,,11.0,,2.0,9.0,
3282,,,,,2.0,,17.0,1.0,,2.0,
3293,,,,,1.0,,24.0,,1.0,2.0,5.0
3297,,11.0,,,2.0,,1.0,,,2.0,
3300,1.0,18.0,,,8.0,,4.0,,,13.0,
3307,,,,,2.0,,1.0,,,3.0,
3311,,,,,1.0,,11.0,,,7.0,12.0
3318,,,,,11.0,,27.0,,4.0,10.0,17.0
3342,1.0,2.0,,,2.0,,1.0,,,4.0,9.0
3346,,,,,,,68.0,,,1.0,1.0
3348,,,,,8.0,,,,,9.0,14.0
3351,,1.0,,,,2.0,1.0,,,1.0,1.0
3357,2.0,2.0,,,9.0,,45.0,,,9.0,10.0
3363,,,,,2.0,,,,,5.0,9.0
3372,,,,,5.0,,,,,7.0,15.0
3383,,,,,4.0,,,,,3.0,5.0
3385,,,,,3.0,,,,,7.0,
3390,,,,,2.0,,57.0,,,1.0,1.0
3397,1.0,1.0,,,9.0,,2.0,,4.0,9.0,
3398,,,,,2.0,,39.0,,,2.0,
3399,,,,,7.0,,1.0,,,7.0,21.0
3405,,,,,1.0,,12.0,,,1.0,
3406,,1.0,,,3.0,,24.0,,,4.0,8.0
3421,,,,,10.0,,14.0,,,7.0,
3422,,,,,1.0,,61.0,,,8.0,19.0
3427,,,,,1.0,2.0,2.0,,,8.0,6.0
3430,1.0,1.0,1.0,,1.0,,23.0,,7.0,19.0,
3433,,9.0,,,7.0,,68.0,,1.0,6.0,
3440,,,,,2.0,,,,,4.0,
3464,,4.0,,,7.0,,1.0,,,8.0,1.0
3467,,,,,5.0,,,,,5.0,6.0
3468,,,,,1.0,,,,,1.0,
3473,,,,,5.0,,,,,5.0,6.0
3476,,,,,2.0,2.0,2.0,,,5.0,9.0
3487,,,,,,,,,,2.0,
3496,,,,,,,2.0,,,5.0,9.0
3498,,1.0,,,3.0,,4.0,,,3.0,12.0
3502,1.0,,,,1.0,,,,,2.0,3.0
3504,1.0,10.0,,,7.0,,28.0,,,6.0,
3522,,3.0,,,2.0,,45.0,,,3.0,1.0
3523,1.0,,,,23.0,,39.0,,3.0,32.0,6.0
3528,1.0,,,,14.0,,96.0,,,14.0,2.0
3532,1.0,,,,1.0,,4.0,,,1.0,
3549,,,,,,,119.0,,2.0,,1.0
3553,,,,,8.0,,,,,8.0,
3558,,,,,2.0,,,,,5.0,5.0
3568,1.0,16.0,,,5.0,1.0,9.0,,8.0,12.0,15.0
3573,,,,,,2.0,4.0,,1.0,4.0,
3574,,6.0,,,2.0,,26.0,,,2.0,
3579,,,,,3.0,,1.0,,,4.0,15.0
3581,,,,,5.0,4.0,,,,5.0,11.0
3582,,,,,4.0,,,,,4.0,10.0
3587,,,,,1.0,,,,,2.0,4.0
3596,1.0,,,,2.0,,,,,2.0,
3600,,,,,3.0,,,,,5.0,
3604,,,,,3.0,,,,,3.0,6.0
3606,,,,,1.0,,,,,1.0,
3609,,,,,3.0,,3.0,,,3.0,
3613,,4.0,,,3.0,,6.0,,1.0,3.0,3.0
3626,,,,,5.0,,,,,6.0,8.0
3635,,,,,2.0,,,,1.0,3.0,
3638,,1.0,,,9.0,1.0,13.0,,,10.0,14.0
3641,,,,,7.0,,2.0,,4.0,13.0,14.0
3648,1.0,,,,,,,,,3.0,
3650,,5.0,,,2.0,,819.0,,,2.0,6.0
3653,,,,,2.0,,1.0,,,2.0,2.0
3656,,10.0,,,11.0,,1.0,,1.0,12.0,13.0
3658,,,,,3.0,,,,,4.0,3.0
3663,,,,,2.0,,7.0,,,1.0,3.0
3665,5.0,11.0,,,41.0,,1.0,,,42.0,67.0
3671,,,,,4.0,,,,,7.0,11.0
3674,,,,,2.0,,6.0,,,3.0,3.0
3676,,7.0,,,4.0,,27.0,,,13.0,
3679,,2.0,,,5.0,,7.0,1.0,,6.0,
3680,1.0,,,,7.0,,5.0,,2.0,6.0,
3695,,3.0,,,2.0,1.0,11.0,,,1.0,
3696,1.0,2.0,,,13.0,,3.0,,1.0,10.0,
3700,,,,,,,,,2.0,1.0,
3701,,,,,1.0,,,,,1.0,
3703,2.0,,,,4.0,2.0,2.0,,2.0,10.0,27.0
3706,,2.0,,,9.0,,2.0,,,12.0,14.0
3711,,,,,1.0,,4.0,,,2.0,
3714,1.0,,,,,,,,,,
3720,,,,,8.0,,,,,8.0,
3722,,,,,2.0,,2.0,,,2.0,3.0
3724,,,,,,,,,,,2.0
3726,,,,,2.0,,92.0,,,3.0,
3727,,,,,1.0,,,,,1.0,1.0
3728,,8.0,,,5.0,,24.0,,,7.0,6.0
3735,,,,,5.0,3.0,,,5.0,11.0,20.0
3737,,10.0,,,3.0,,39.0,,1.0,4.0,
3743,,1.0,,,,,,,,,
3751,,,,,3.0,,,,,2.0,
3756,2.0,,,,10.0,,1.0,,,10.0,13.0
3764,,1.0,,,1.0,,44.0,,,2.0,2.0
3765,,,,,1.0,,,,,2.0,5.0
3766,,,,,6.0,,23.0,,,13.0,
3772,1.0,,,,2.0,2.0,,,,10.0,
3778,,,,,1.0,,,,1.0,2.0,1.0
3779,,,,,2.0,1.0,,,,10.0,
3781,,,,,3.0,,43.0,,,3.0,
3785,,,,,1.0,,3.0,,,2.0,6.0
3790,,,,,1.0,,,,,5.0,5.0
3821,1.0,,,,21.0,,16.0,,,16.0,
3842,,,,,,,,,,,
3848,,,,,6.0,,31.0,,1.0,14.0,
3851,,,,,3.0,,,,,9.0,14.0
3868,,14.0,,,2.0,,27.0,,1.0,3.0,
3881,,,,,3.0,,,,,3.0,5.0
3891,,,,,3.0,,,,,3.0,7.0
3892,,,,,2.0,,,,,1.0,
3895,,,,,,,31.0,,,1.0,2.0
3913,,,,,,,,,,1.0,
3915,,,,,7.0,,4.0,,1.0,5.0,7.0
3925,,,,,1.0,,,,,1.0,
3939,,,,,1.0,1.0,8.0,,1.0,3.0,
3941,,,,,5.0,,6.0,,,9.0,
3943,,,,,5.0,,8.0,,,9.0,
3949,,,,,2.0,,,,1.0,9.0,
3952,,,,,2.0,,6.0,,5.0,1.0,2.0
3970,,1.0,,,9.0,2.0,22.0,,,7.0,12.0
3971,,,,,12.0,,,,1.0,13.0,4.0
3977,,,,,3.0,,1.0,,,4.0,
4000,,23.0,,,4.0,,65.0,,1.0,4.0,
4006,,,,,2.0,,,,1.0,5.0,9.0
4046,,3.0,,,3.0,,25.0,,,5.0,
4047,,,,,2.0,,52.0,,,2.0,3.0
4052,,,,,5.0,,,,,4.0,3.0
4057,,,,,1.0,,,,,1.0,
4059,,,,,1.0,,,,,1.0,
4066,,,,,6.0,,,,,2.0,
4069,,9.0,,,1.0,,11.0,,,1.0,1.0
4070,1.0,,,,3.0,1.0,24.0,,,4.0,
4094,1.0,,,,8.0,,2.0,,4.0,8.0,
4106,,,,,2.0,,47.0,,,11.0,
4111,,,,,2.0,,20.0,,,4.0,9.0
4114,,,,,3.0,,20.0,,,6.0,12.0
4120,,6.0,,,8.0,,13.0,2.0,,8.0,
4121,,,,,11.0,,2.0,,,11.0,
4123,,,,,1.0,,1.0,,,5.0,18.0
4126,,,,,,,23.0,,2.0,1.0,3.0
4132,,,,,,1.0,1.0,,,,1.0
4135,,,,,3.0,,,,,4.0,3.0
4137,1.0,1.0,,,1.0,,67.0,,,4.0,
4147,,8.0,,,4.0,,2.0,,,6.0,8.0
4158,,,,,,,,,,1.0,1.0
4165,,,,,5.0,2.0,67.0,,,3.0,14.0
4177,1.0,,,,4.0,2.0,,,,4.0,9.0
4187,,,,,1.0,,33.0,,,5.0,
4193,,,,,4.0,,,,,4.0,
4205,,,,,8.0,,1.0,,,7.0,10.0
4207,,,,,,,13.0,,,2.0,3.0
4220,,1.0,,,1.0,,6.0,,,1.0,
4232,,,,,2.0,,,,,3.0,
4234,,,,,6.0,,,,,6.0,
4235,,,,,4.0,,,,2.0,3.0,
4236,,18.0,,,6.0,,78.0,,,5.0,17.0
4241,,,,,1.0,,,,,2.0,2.0
4247,,,,,10.0,,2.0,,,9.0,20.0
4249,,,,,4.0,,3.0,,,3.0,5.0
4250,,,,,2.0,,29.0,,1.0,5.0,
4251,,,,,5.0,,3.0,,,9.0,5.0
4260,,,,,2.0,,,,,2.0,1.0
4263,,,,,5.0,,,,,5.0,
4266,,,,,4.0,,45.0,,4.0,5.0,9.0
4279,,,,,,,,,,,3.0
4287,,,,,1.0,,1.0,,,2.0,3.0
4288,,,,,,,2.0,,,4.0,
4316,,2.0,,,,,10.0,,,,2.0
4346,,,,,,,4.0,,1.0,,
4353,,,,,4.0,,1.0,,,4.0,6.0
4366,,,,,4.0,,,,,4.0,
4378,,,,,4.0,2.0,1.0,,1.0,7.0,3.0
4379,,,,,2.0,,1.0,,,5.0,1.0
4380,,,,,3.0,,,,,4.0,6.0
4387,,,,,2.0,,,,,2.0,2.0
4389,,,,,3.0,,,,2.0,4.0,5.0
4390,1.0,,,,5.0,,2.0,1.0,,6.0,5.0
4395,5.0,14.0,,,29.0,,204.0,2.0,4.0,32.0,56.0
4402,1.0,,,,4.0,,2.0,,,5.0,
4406,,,,,10.0,,,,,13.0,
4407,,44.0,,,,,,,,,
4415,,,,,2.0,,41.0,,,4.0,
4418,,,,,1.0,,2.0,,,5.0,
4433,,3.0,,,1.0,,12.0,,,3.0,6.0
4437,,1.0,,,1.0,,27.0,,,2.0,
4449,,,,,,,,4.0,,,
4463,,,,,2.0,,,,,3.0,
4478,,,,,2.0,,,,1.0,5.0,7.0
4489,,,,,2.0,,3.0,,,2.0,2.0
4490,,5.0,,,,,4.0,,1.0,2.0,
4491,,,,,1.0,,,,,1.0,
4494,,,,,2.0,3.0,,,,3.0,7.0
4499,,9.0,,,2.0,,5.0,,,3.0,6.0
4501,,,,,1.0,,27.0,,,2.0,
4506,,,,,2.0,,,,,3.0,4.0
4517,,,,,1.0,,,,,2.0,
4525,,,,,1.0,,2.0,,,1.0,
4530,,,,,5.0,2.0,32.0,,,5.0,10.0
4531,,,,,11.0,,,,,9.0,
4534,,,,,1.0,,1.0,,,,
4535,,,,,,2.0,48.0,,2.0,2.0,3.0
4539,,,,,1.0,,59.0,,,,
4543,,1.0,,,3.0,,2.0,,,3.0,9.0
4551,,,,,1.0,,,,1.0,1.0,4.0
4577,,3.0,,,24.0,1.0,8.0,,2.0,25.0,46.0
4580,,3.0,,,17.0,,13.0,,2.0,19.0,39.0
4581,,70.0,,,3.0,,1.0,1.0,1.0,7.0,
4585,,5.0,,,1.0,,3.0,,,1.0,
4591,,,,,12.0,4.0,3.0,,,10.0,29.0
4601,,,,,9.0,5.0,9.0,,,10.0,
4605,,5.0,,,1.0,,6.0,,,2.0,1.0
4617,,,,,,,,5.0,,,
4629,1.0,2.0,,,2.0,,11.0,,,5.0,
4630,,,,,2.0,,11.0,1.0,,2.0,
4631,,,,,5.0,,,,,5.0,
4634,,,,,,,28.0,,,,1.0
4637,,,,,4.0,,,,3.0,7.0,2.0
4640,,2.0,,,,,19.0,,1.0,,2.0
4645,,,,,4.0,,6.0,,,2.0,4.0
4659,,,,,1.0,,,,,1.0,
4660,,,,,4.0,,1.0,,1.0,6.0,
4664,,,,,4.0,,1.0,,,4.0,6.0
4677,,,,,2.0,,17.0,,,2.0,
4686,,,,,3.0,,1.0,,,5.0,1.0
4692,,,,,1.0,,,,,6.0,10.0
4693,,,,,,,5.0,,,,2.0
4711,,4.0,,,2.0,,2.0,,,4.0,
4726,,,,,,,,,,,
4729,,7.0,,,1.0,,35.0,,,2.0,
4745,,,,,,,7.0,,,1.0,
4766,,10.0,,,10.0,,1.0,,1.0,36.0,
4775,,,,,6.0,,1.0,,,7.0,3.0
4785,,5.0,,,2.0,,18.0,,,4.0,
4790,,,,,1.0,,17.0,,1.0,2.0,
4801,,,,,,,1.0,,,1.0,
4803,,,,,2.0,,,,,2.0,2.0
4806,,,,,,2.0,32.0,,2.0,2.0,2.0
4811,,,,,,,7.0,,,,1.0
4837,,1.0,,,3.0,,60.0,,4.0,6.0,
4851,,,,,2.0,,,,,4.0,1.0
4854,,,,,1.0,,,,,2.0,5.0
4871,,,,,1.0,,6.0,,,3.0,1.0
4872,,,,,2.0,,1.0,,,4.0,
4875,,,,,,1.0,35.0,,,2.0,3.0
4876,,,,,2.0,,2.0,,,3.0,2.0
4878,,,,,1.0,,2.0,,,1.0,7.0
4883,,,,,4.0,,11.0,,,1.0,
4885,,13.0,,,4.0,,41.0,1.0,,5.0,1.0
4889,,7.0,,,2.0,,14.0,,,6.0,
4919,,,,,1.0,,,,1.0,2.0,
4940,,,,,,,60.0,,,,2.0
4953,,,,,5.0,,1.0,,1.0,8.0,2.0
4960,,,,,1.0,,,,,4.0,1.0
4969,,,,,2.0,,,,,5.0,3.0
4970,,,,,1.0,,,,,3.0,2.0
4979,,,,,6.0,,,,,6.0,2.0
4986,,15.0,,,5.0,,4.0,,,12.0,
4988,,,,,3.0,,,,,6.0,7.0
4995,,,,,1.0,,,,,1.0,
4996,,,,,,2.0,,,,2.0,3.0
5005,,12.0,,,26.0,,149.0,,2.0,43.0,53.0
5007,,,,,2.0,,9.0,,1.0,1.0,1.0
5025,,,,,1.0,,2.0,,,1.0,2.0
5031,,,,,1.0,,4.0,,,2.0,1.0
5033,,,,,6.0,,64.0,,,11.0,6.0
5042,,,,,1.0,,2.0,,,4.0,2.0
5048,,21.0,,,9.0,,28.0,,3.0,7.0,
5055,,,,,9.0,,17.0,,,10.0,
5061,,,,,,,63.0,,,,2.0
5068,,,,,1.0,,,,2.0,1.0,3.0
5098,,24.0,,,1.0,,58.0,1.0,,5.0,7.0
5105,,,,,3.0,2.0,1.0,1.0,1.0,4.0,
5115,,,,,4.0,1.0,2.0,,,6.0,5.0
5116,,,,,,,9.0,,,3.0,3.0
5118,,,,,1.0,,,,,,
5125,,,,,2.0,,,,1.0,2.0,11.0
5142,,,,,,,1.0,,1.0,,3.0
5151,,,,,1.0,,,,,1.0,
5154,,4.0,,,2.0,,242.0,,2.0,3.0,3.0
5161,,,,,2.0,,,,,2.0,3.0
5165,,,,,,,,,,1.0,
5166,,3.0,,,3.0,,30.0,,2.0,12.0,7.0
5178,,,,,3.0,2.0,8.0,,,3.0,4.0
5196,,3.0,,,1.0,,114.0,,,1.0,2.0
5198,,11.0,,,2.0,,68.0,1.0,,6.0,1.0
5216,,3.0,,,3.0,,14.0,,,3.0,1.0
5241,,,,,,,70.0,,,,2.0
5242,,,,,3.0,,,,,2.0,1.0
5255,,,,,10.0,,2.0,,2.0,7.0,23.0
5269,,,,,12.0,1.0,,,,6.0,10.0
5279,,,,,1.0,,,,,3.0,2.0
5289,,,,,1.0,,,,,4.0,4.0
5290,,,,,5.0,,,,,5.0,4.0
5291,,4.0,,,1.0,,3.0,,,1.0,
5322,,,,,,,,,,,
5334,,,,,1.0,,,,,1.0,
5338,,,,,6.0,,162.0,,,5.0,8.0
5345,,,,,1.0,,1.0,,1.0,2.0,6.0
5352,,,,,2.0,,4.0,,1.0,5.0,
5360,,,,,,,,1.0,,,
5361,,3.0,,,2.0,,15.0,,,2.0,1.0
5378,,1.0,,,7.0,,16.0,,1.0,8.0,
5397,,,,,3.0,,28.0,,,2.0,1.0
5401,,,,,2.0,,,,,2.0,
5413,,,,,,,,,,,2.0
5421,,,,,5.0,,7.0,,2.0,7.0,
5422,,,,,4.0,,,,1.0,5.0,7.0
5423,,,,,1.0,,6.0,,,1.0,1.0
5434,,,,,,,3.0,,,1.0,2.0
5438,,,,,,,,,,,
5457,,,,,,,,,,1.0,
5462,,,,,3.0,,69.0,,1.0,3.0,3.0
5463,,7.0,,,5.0,,21.0,3.0,2.0,6.0,
5464,,5.0,,,1.0,,53.0,3.0,5.0,2.0,3.0
5472,,4.0,,,,,,,,,
5473,,,,,3.0,,3.0,,,3.0,2.0
5477,,,,,2.0,,35.0,,4.0,2.0,7.0
5491,,,,,1.0,,,,,1.0,
5502,,,,,2.0,,208.0,,,2.0,2.0
5503,,1.0,,,4.0,,73.0,,1.0,9.0,7.0
5505,,,,,3.0,,11.0,,,2.0,8.0
5506,,2.0,,,2.0,,1.0,,1.0,1.0,2.0
5508,,,,,1.0,,43.0,,,4.0,
5521,,,,,3.0,,2.0,,,4.0,6.0
5531,,3.0,,,1.0,,31.0,,,1.0,2.0
5534,,,,,,,,,,3.0,
5538,,,,,,,,,3.0,,
5544,,,,,,,,,,1.0,
5553,,,,,2.0,,1.0,,,2.0,
5557,,6.0,,,,,3.0,,,,2.0
5558,,,,,6.0,,,,,6.0,2.0
5560,,,,,1.0,,,,,3.0,
5563,,6.0,,,,,3.0,,,,2.0
5564,,72.0,,,,,,4.0,,,
5565,,1.0,,,3.0,,31.0,,,4.0,4.0
5597,,,,,4.0,,,,,4.0,
5604,,,,,3.0,,7.0,,,5.0,
5606,,,,,,,,,,,1.0
5607,,,,,2.0,,,,,,4.0
5608,,,,,1.0,,,,,1.0,1.0
5615,,,,,,,,,,,
5648,,,,,,,,1.0,,,
5651,,4.0,,,3.0,,6.0,,,3.0,
5652,,,,,1.0,,3.0,,,1.0,3.0
5660,,,,,1.0,,,,,1.0,
5663,,,,,2.0,,1.0,,,2.0,3.0
5682,,,,,1.0,,,,,1.0,1.0
5697,,,,1.0,,,,16.0,,,
5701,,4.0,,,2.0,,9.0,,,6.0,
5733,,,,,5.0,,3.0,,,8.0,2.0
5745,,,,,1.0,,,,,1.0,
5767,,,,,1.0,,,,,2.0,
5789,,,,,2.0,,1.0,,,3.0,
5793,,1.0,,,4.0,,46.0,,,5.0,1.0
5864,,51.0,,,5.0,,104.0,,,6.0,2.0
5868,,,,,2.0,,2.0,,,3.0,3.0
5871,,,,,3.0,,,,,2.0,4.0
5875,,,,,2.0,,14.0,,,3.0,1.0
5896,,,,,1.0,,,,1.0,2.0,1.0
5899,,,,,1.0,,1.0,,4.0,3.0,2.0
5913,,,,,2.0,,13.0,,1.0,2.0,
5914,,,,,1.0,,2.0,,,1.0,
5919,,5.0,,,2.0,,49.0,,,2.0,4.0
5920,,,,,,,,,1.0,1.0,
5921,,,,,,,1.0,,,1.0,1.0
5949,,19.0,,,,,,,,,
5958,,,,,1.0,,9.0,,,2.0,3.0
5979,,4.0,,,2.0,,51.0,,1.0,3.0,
5981,,,,,1.0,,,,,1.0,2.0
5996,,,,,,,2.0,,2.0,,1.0
6003,,125.0,,,,,,,,,
6011,,,,,,,,,1.0,,1.0
6029,,,,,2.0,,25.0,,,2.0,
6034,,,,,1.0,,70.0,,,2.0,
6041,,,,,,,,,,1.0,1.0
6054,,1.0,,,3.0,,32.0,,,3.0,1.0
6056,,,,,,,,,,,1.0
6057,,,,,3.0,,,,,4.0,6.0
6068,,,,,,,,,,,
6072,,,,,1.0,,,,1.0,3.0,
6073,,,,,,,,,,,
6074,,,,,2.0,,42.0,,1.0,2.0,1.0
6085,,,,,1.0,,76.0,,,1.0,3.0
6088,,15.0,,,,,1.0,,,,1.0
6104,,1.0,,,,,,1.0,,,
6114,,,,,2.0,,1.0,,,1.0,4.0
6119,,,,,3.0,,,,1.0,3.0,2.0
6120,,,,,4.0,,,,1.0,5.0,3.0
6121,,,,,,,,1.0,,,
6134,,10.0,,,,,7.0,,2.0,,
6156,,,,,1.0,1.0,8.0,,,1.0,2.0
6166,,,,,5.0,,,,,5.0,3.0
6179,,,,,,,,,1.0,5.0,1.0
6181,,,,,1.0,,3.0,,,2.0,1.0
6184,,,,,,,,,,,
6195,,,,,1.0,,,,,1.0,
6203,,2.0,,,3.0,,21.0,,,4.0,7.0
6205,,,,,4.0,,,,1.0,7.0,3.0
6213,,4.0,,,4.0,,3.0,,2.0,3.0,2.0
6225,,,,,1.0,,15.0,,,1.0,2.0
6229,,1.0,,,2.0,,2.0,,,2.0,2.0
6249,,,,,3.0,,,,,3.0,8.0
6250,,,,,1.0,,28.0,,,1.0,
6253,,,,,2.0,,10.0,,,1.0,
6259,,,,,3.0,,134.0,,,3.0,4.0
6262,,,,,1.0,,21.0,,,3.0,3.0
6265,,,,,2.0,,12.0,,,2.0,10.0
6266,,,,,1.0,,,,,1.0,1.0
6303,,,,,1.0,,,,,1.0,
6306,,,,,4.0,,2.0,,,6.0,3.0
6315,,,,,5.0,,18.0,,,4.0,
6322,,,,,1.0,,,,,1.0,1.0
6327,,,,,3.0,,,,,3.0,3.0
6328,,,,,2.0,,180.0,,,3.0,
6346,,7.0,,,6.0,,70.0,,2.0,10.0,10.0
6356,,9.0,,,2.0,,220.0,,,5.0,
6358,,,,,,,,,,,1.0
6359,,,,,,,,,,,1.0
6369,,,,,1.0,,2.0,,,2.0,
6376,,,,,1.0,,,,,3.0,1.0
6377,,1.0,,,1.0,,50.0,,,2.0,
6380,,25.0,,,5.0,,2.0,,,9.0,3.0
6412,,,,,3.0,,1.0,,,4.0,7.0
6414,,,,,,,43.0,,1.0,2.0,
6416,,,,,8.0,,4.0,,4.0,8.0,
6421,,,,,1.0,,4.0,,,2.0,1.0
6426,,24.0,,,2.0,,1.0,,,3.0,5.0
6462,,,,,1.0,,7.0,,,2.0,2.0
6467,,,,,,,,,,,1.0
6474,,,,,1.0,,,,,1.0,3.0
6481,,,,,,,3.0,,3.0,,1.0
6489,,6.0,,,,,1.0,,,,4.0
6492,,,,,,,,,1.0,1.0,3.0
6496,,,,,1.0,,,,1.0,3.0,1.0
6498,,,,,3.0,,,,,3.0,4.0
6500,,,,,,,,,,,
6505,,,,,2.0,,2.0,,,1.0,1.0
6508,,,,,2.0,,2.0,,,2.0,1.0
6513,,,,,,,60.0,,,1.0,1.0
6516,,,,,2.0,,,,,2.0,7.0
6535,,,,,1.0,,,,,2.0,4.0
6545,,,,,1.0,,,,,1.0,1.0
6547,,,,,1.0,,,,,1.0,9.0
6554,,,,,1.0,,7.0,,,1.0,1.0
6557,,,,,2.0,,,,,3.0,1.0
6562,,,,,1.0,,,,,2.0,4.0
6564,,,,,1.0,,22.0,,,1.0,4.0
6565,,,,,1.0,,1.0,,,,
6567,,,,,5.0,,5.0,,,4.0,6.0
6576,,,,,3.0,,25.0,,,3.0,3.0
6585,,2.0,,,,,63.0,,,,3.0
6587,,,,,,,22.0,,,1.0,2.0
6602,,,,,3.0,,,,,4.0,4.0
6604,,,,,1.0,,5.0,,,2.0,3.0
6619,,,,,2.0,,73.0,,,2.0,1.0
6633,,7.0,,,1.0,,4.0,,2.0,4.0,5.0
6638,,26.0,,,2.0,,26.0,,,2.0,3.0
6651,,,,,2.0,,1.0,,,3.0,3.0
6659,,,,,1.0,,,,,7.0,8.0
6667,,,,,,,,,,,1.0
6670,,,,,,,,,1.0,,
6671,,,,,1.0,,,,1.0,1.0,1.0
6678,,,,,,,,,,,
6683,,,,,,,7.0,,,1.0,
6694,,,,,1.0,,33.0,,,4.0,6.0
6722,,,,,1.0,,,,3.0,1.0,
6726,,,,,,,,,,2.0,3.0
6734,,,,,1.0,,,,,2.0,3.0
6738,,24.0,,,2.0,,51.0,,,3.0,1.0
6744,,,,,1.0,,,,,2.0,
6763,,,,,2.0,,1.0,,,,
6774,,1.0,,,4.0,,86.0,,,2.0,3.0
6792,,,,,1.0,,,,,1.0,2.0
6807,,,,,7.0,,,,,8.0,8.0
6808,,,,,2.0,,4.0,,,3.0,
6821,,,,,,,,,2.0,,
6828,,3.0,,,,,3.0,,,,1.0
6845,,,,,,,,,1.0,,
6848,,,,,1.0,,131.0,,,3.0,4.0
6857,,,,,,,,,,4.0,2.0
6866,,,,,,,1.0,,,,3.0
6878,,,,,1.0,,,,,1.0,2.0
6901,,,,,5.0,,,,,5.0,8.0
6907,,,,,1.0,,22.0,,,1.0,4.0
6914,,16.0,,,2.0,,3.0,,,3.0,
6925,,,,,,,,,,,1.0
6930,,4.0,,,3.0,,24.0,,,5.0,5.0
6935,,,,,1.0,,1.0,,,1.0,1.0
6942,,,,,2.0,,4.0,,,4.0,1.0
6951,,,,,1.0,,,,,1.0,
6953,,,,,,,1.0,,1.0,,
6963,,,,,,,,,,,1.0
6967,,,,,,,3.0,,2.0,1.0,2.0
6974,,,,,8.0,,1.0,,5.0,1.0,9.0
6980,,,,,2.0,,,,1.0,5.0,17.0
6990,,,,,,,,,,1.0,2.0
6996,,,,,1.0,,169.0,,,,3.0
7000,,1.0,,,,,,1.0,,,
7004,,,,,1.0,,,,,1.0,
7025,,,,,5.0,,2.0,,,1.0,7.0
7046,,,,,1.0,,219.0,,,1.0,
7048,,,,,2.0,,7.0,,,3.0,3.0
7051,,,,,2.0,,24.0,,,2.0,1.0
7068,,2.0,,,,,1.0,,,,2.0
7074,,3.0,,,3.0,,26.0,,,6.0,2.0
7090,,,,,3.0,,42.0,,,1.0,6.0
7091,,,,,4.0,,42.0,,,2.0,2.0
7103,,,,,,,8.0,,2.0,3.0,
7113,,,,,,,,,,,
7118,,,,,,,62.0,,,1.0,4.0
7122,,,,,,,,,,,1.0
7125,,,,,5.0,,,,,3.0,
7141,,,,,,,,,,,
7178,,110.0,,,,,,2.0,,,
7186,,,,,,,,,,,2.0
7187,,,,,1.0,,3.0,,1.0,1.0,3.0
7192,,6.0,,,2.0,,8.0,,,2.0,2.0
7197,,,,,3.0,,39.0,,,3.0,6.0
7205,,,,,2.0,,5.0,,,4.0,5.0
7218,,,,,2.0,,,,,3.0,6.0
7224,,,,,1.0,,1.0,,1.0,1.0,3.0
7236,,,,,7.0,,7.0,,,6.0,5.0
7247,,,,,1.0,,,,,1.0,
7253,,,,,1.0,,,,1.0,4.0,6.0
7266,,,,,,,,,,,1.0
7270,,,,,1.0,,,,,,3.0
7277,,73.0,,,,,,,,,
7288,,,,,3.0,,,,,3.0,3.0
