,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
960.0,2.0,,,,7.0,,0.0,,,8.0,11.0
961.0,10.0,,,20.0,9.0,,0.0,,1.0,8.0,1.0
966.0,7.0,,,,9.0,,0.0,,,8.0,13.0
967.0,3.0,,,,10.0,2.0,0.0,,,9.0,11.0
969.0,2.0,,,,4.0,,0.0,,,4.0,5.0
971.0,12.0,,,,13.0,,0.0,,,12.0,11.0
983.0,14.0,,,,14.0,,0.0,,,14.0,25.0
994.0,5.0,,,,10.0,2.0,0.0,,,8.0,2.0
996.0,3.0,1.0,,,6.0,,0.0,,,6.0,7.0
999.0,5.0,,,,7.0,,0.0,,,6.0,4.0
1004.0,5.0,,,,11.0,,0.0,,,10.0,14.0
1008.0,5.0,,,1.0,10.0,1.0,0.0,,,10.0,11.0
1020.0,,,,,2.0,,0.0,,,2.0,4.0
1030.0,22.0,,,4.0,23.0,,0.0,,,20.0,36.0
1064.0,2.0,,,10.0,3.0,,0.0,,,3.0,
1067.0,1.0,,1.0,,1.0,2.0,0.0,,,1.0,2.0
1071.0,10.0,,,,17.0,,0.0,,,14.0,22.0
1074.0,,,,,3.0,,0.0,,,5.0,4.0
1084.0,3.0,,,,4.0,,0.0,,,4.0,6.0
1085.0,,1.0,,,1.0,,0.0,,,1.0,3.0
1086.0,14.0,,,,9.0,,0.0,,,8.0,8.0
1096.0,2.0,,,2.0,3.0,1.0,0.0,,,5.0,10.0
1098.0,6.0,,,,4.0,2.0,0.0,,,3.0,5.0
1102.0,15.0,8.0,,,20.0,2.0,0.0,,4.0,17.0,3.0
1104.0,5.0,8.0,,,9.0,,0.0,,4.0,5.0,10.0
1119.0,3.0,5.0,,,5.0,2.0,0.0,,,5.0,5.0
1120.0,5.0,,,,7.0,,0.0,,,7.0,2.0
1123.0,5.0,,,,12.0,,0.0,,3.0,11.0,15.0
1133.0,3.0,,,7.0,7.0,,0.0,,,8.0,2.0
1149.0,2.0,,,,4.0,,0.0,,,5.0,5.0
1157.0,4.0,9.0,,,7.0,,0.0,,,8.0,5.0
1160.0,1.0,,,1.0,2.0,,0.0,,,2.0,2.0
1169.0,7.0,,,,8.0,,0.0,,,8.0,14.0
1179.0,19.0,,,,27.0,3.0,0.0,,3.0,27.0,36.0
1180.0,1.0,,,,6.0,,0.0,,,7.0,2.0
1197.0,7.0,,,,6.0,1.0,0.0,,2.0,4.0,9.0
1201.0,4.0,,,,10.0,,0.0,,2.0,11.0,
